Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-050,KIAS,SBY-33 ,Fugui Flour-Gresik,050FUG,8,00
C-050,KIAS,SBY-33 ,HAS Gresik,050HAS,8,00
C-051,Romokalisari,SBY-02 ,SPC-Trosobo,051SPT,51,00
C-051,Romokalisari,SBY-02 ,JCI-Margomulyo,051JCM,30,00
C-051,Romokalisari,SBY-02 ,Widuri Blitar,051WDR,115,00
C-051,Teluk Lamong,SBY-07 ,Greenfields Blitar,051GFB,115,00
C-051,Romokalisari,SBY-02 ,Berkat Agri-Gedangan,051BAG,44,00
C-051,Teluk Lamong,SBY-07 ,Widuri Blitar,051WDR,115,00
C-051,Teluk Lamong,SBY-07 ,SPC-Trosobo,051SPT,53,00
C-051,Teluk Lamong,SBY-07 ,Romokalisari,051RMK,22,00
C-052,CARGILL Beji,SBY-32 ,Gold Coin,052GCN,76,00
C-052,Tb.Langon 22,,Gold Coin,052GCN,25,00
C-052,Teluk Lamong,SBY-07 ,Gold Coin,052GCN,29,70
C-052,KIG-Gresik,,Gold Coin-M.Mulyo,052GCM,38,00
C-052,Pelabuhan Perak,SBY-20 ,Gold Coin-M.Mulyo,052GCM,30,00
C-053,TB. Langon 28,,Wonokoyo,053WKY,47,00
C-053,Teluk Lamong,SBY-07 ,Wonokoyo,053WKY,55,00
C-053,Pelabuhan Perak,SBY-20 ,Wonokoyo,053WKY,53,00
C-053,Romokalisari,SBY-02 ,Wonokoyo,053WKY,55,00
C-053,KIG-Gresik,,Wonokoyo,053WKY,57,00
C-054,Romokalisari,SBY-02 ,Haida Kraton,054HKR,64,00
C-054,Romokalisari,SBY-02 ,Gold Coin,054GCN,28,00
C-054,Teluk Lamong,SBY-07 ,CJ Feed Jombang,054CFJ,68,00
C-054,Teluk Lamong,SBY-07 ,MARGOMULYO PERMAI,054MGP,25,00
C-054,Romokalisari,SBY-02 ,East Hope-Ngoro,054EHN,54,00
C-055,Romokalisari,SBY-02 ,PT.Seger,055SEG,50,00
C-055,Romokalisari,SBY-02 ,Tb.Langon,055TBL,29,00
C-055,Tb.Langon 16,,SPC-Trosobo,055SPT,50,00
C-055,Romokalisari,SBY-02 ,Cpi Sepanjang,055CIS,48,00
C-055,Margomulyo,SBY-03 ,Cpi Krian,055CIK,46,00
C-055,Margomulyo,SBY-03 ,Cpi Sepanjang,055CIS,44,00
C-055,Teluk Lamong,SBY-07 ,Cpi Krian,055CIK,45,00
C-055,Teluk Lamong,SBY-07 ,Cpi Sepanjang,055CIS,44,50
C-055,Teluk Lamong,SBY-07 ,Wonokoyo,055WKY,53,50
C-055,Teluk Lamong,SBY-07 ,Tb.Langon,055TBL,26,50
C-055,Margomulyo,SBY-03 ,Cpi Krian,055CIK,48,00
C-055,Romokalisari,SBY-02 ,Cpi Krian,055CIK,50,00
C-056,KIAS,SBY-33 ,HAS Gresik,056HAS,8,00
C-057,Romokalisari,SBY-02 ,MPJS Jombang,057MPJ,73,00
C-057,Romokalisari,SBY-02 ,CARGILL Beji,057CGB,50,50
C-057,Romokalisari,SBY-02 ,Murti Jaya Abadi,057MJA,13,70
C-057,Romokalisari,SBY-02 ,Siantar Top-Sda,057STA,43,60
C-057,Romokalisari,SBY-02 ,Romokalisari,057RMK,10,00
C-057,Romokalisari,SBY-02 ,TANJUNG BATU SURABAYA,057TGB,27,50
C-057,Romokalisari,SBY-02 ,Margomulyo,057MML,27,50
C-057,Romokalisari,SBY-02 ,Dupak,057DPK,25,00
C-057,Romokalisari,SBY-02 ,Pakindo Jaya,057PKJ,39,00
C-057,Romokalisari,SBY-02 ,Wirifa Rungkut,057WFR,39,00
C-057,Romokalisari,SBY-02 ,New Hope Jemundo,057NHJ,44,50
C-057,Romokalisari,SBY-02 ,Panca Pandaan,057PPD,50,50
C-057,Romokalisari,SBY-02 ,Wonokoyo,057WKY,50,50
C-057,Romokalisari,SBY-02 ,Sinar Indochem-Krian,057SIK,47,00
C-057,Romokalisari,SBY-02 ,Cpi Krian,057CIK,47,00
C-057,Romokalisari,SBY-02 ,Japfa Buduran,057JPB,45,00
C-057,Romokalisari,SBY-02 ,Panca Gedangan,057PPG,39,00
C-057,Romokalisari,SBY-02 ,Cargill PIER,057CKP,61,50
C-057,Romokalisari,SBY-02 ,Gold Coin-M.Mulyo,057GCM,27,50
C-057,Romokalisari,SBY-02 ,Matahari Sakti Gempol,057MSG,50,50
C-057,Romokalisari,SBY-02 ,East Hope-Ngoro,057EHN,50,50
C-057,Romokalisari,SBY-02 ,Cpi Sepanjang,057CIS,44,50
C-057,Romokalisari,SBY-02 ,New Hope Mojosari,057NHM,52,50
C-057,Romokalisari,SBY-02 ,Suri Tani Manyar,057STM,39,00
